Name,Description,Image,ImageOffset,Rule Change,Apply On Continue
Random,A different rule change[;] chosen randomly.,_random,,,YES
Lady Luck,All enemy equipment is upgraded.,_ladyluck,-50|-22,Rules.upgradeenemyequipment = true;,YES
Wolf Puppy,Both you and your enemies start each|fight with [fury]Fury[].,wolfpuppy,0|0,Rules.addplayerinnatestatus(FURY[;] 1[;] true); Rules.addenemyinnatestatus(FURY[;] 1[;] true); ,YES
Sorceress,Enemies can throw unused dice at you.,sorceress,0|0,Rules.enemiescanthrowdice = true;,YES
Drake,Enemies get 20% extra health.,vampire,-30|10,Rules.enemyhpadjust = 1.2;,YES
Scathach,You are [curse]Cursed[] every turn[;]|but you get an extra dice.,scahatch,-60|-30,Rules.addplayerinnatestatus(CURSE); self.dice++;,YES
Loud Bird,Enemies will [dodge]Dodge[] your first|attack every turn.,loudbird,0|-50,Rules.addenemyinnatestatus(DODGE);,YES
Buster,Burning dice cost [heart]5[] hp to extinguish.,dragon,-130|-60,Rules.burningdicecost = 5;,YES
Snowman,One of your dice is [ice]Frozen at the|start of every turn.,snowman,-10|-50,Rules.addplayerinnatestatus(ICE); ,YES
Fireman,One of your dice is [fire]Burning at the|start of every turn.,fireman,-20|-30,Rules.addplayerinnatestatus(FIRE); ,YES
Singer,On your first turn[;] all your dice rolls|are the same number.,singer,-20|0,Rules.addextrascript(~Rules.stackplayerdice([[rand([1[;]2[;]3[;]4[;]5[;]6])]][;] false[;] false);~[;] ~startcombat~);,YES
Vacuum,Enemies get 10% extra health.,vacuum,-100|50,Rules.enemyhpadjust = 1.1;,YES
Sticky Hands,Enemies have a chance to go first.,stickyhands,-90|10,Rules.addextrascript(~var goesfirst = false; if((self.maxhp / self.hp) < 2) { goesfirst = chance(60); } else { goesfirst = chance(20); } if(goesfirst){ target.innate.push(\~goesfirst\~); }~[;] ~startcombat~);,YES
Mimic,Everything in the dungeon looks like|a treasure chest.,mimic,,Rules.mimiccurse=true;,YES
Baby Squid,One of your dice is [blind]Blinded at the|start of every turn.,squid,30|0,Rules.addplayerinnatestatus(BLIND); ,YES
Haunted Jar,Poison is no longer reduced by 1|each turn.,hauntedjar,0|0,Rules.playerpoisondelta = 0; Rules.enemypoisondelta = 0;,YES
Paper Knight,Start with 2 extra dice. Lose 1 dice|every turn[;] until you have just 1 left.,cardboardwarrior,-90|0,Rules.addextrascript(~self.extradice = 3;~[;] ~startcombat~); Rules.addextrascript(~self.extradice--; if(self.dice + self.extradice < 1) self.extradice = 1- self.dice;~[;] ~beforestartturn~);,YES
Robobot,If your CPU counter exceeds the|target[;] take [heart]5[] damage.,robobot,-70|-50,Rules.robot_errorpenalty = 5;,YES
Dire Wolf,The odds of [curse]Curse[] triggering is|reduced to 25%.,direwolf,-40|0,Rules.curseodds = 25;,YES
Banshee,Instead of causing equipment to fail[;]|[curse]Curse[] reverses your target.,banshee,-20|0,Rules.setalternate(~curse~);,YES
Madison,Enemies start each fight with [fury]Fury[].,girlscout,-10|-30,Rules.addenemyinnatestatus(FURY[;] 1[;] true); ,YES
Bully,All enemies get a Rock.,bully,-50|-10,Rules.addextrascript(~if(target.spaceleft() >= 1) {giveenemyequipment(\~Rock\~| false| false); }~[;] ~startcombat~);,YES
Skeleton,Lose a dice.,skeleton,-20|-80,self.dice--;,NO
Cornelius,Lose [heart]10[] max health.,cornelius,0|-40,self.maxhp -= 10; if(self.hp > self.maxhp) { self.hp = self.maxhp; },NO
Cowboy,Enemies always roll a 6.,cowboy,10|0,Rules.stackenemydice([[6]][;] true[;] true[;] true);,YES
Handyman,You need an even dice to unshock|[shock]Shocked[] equipment.,handyman,-30|-10,Rules.shocktype = ~EVEN~;,YES
Wizard,All enemies get an extra dice.,wizard,-50|-20,Rules.addextrascript(~target.extradice = 1;~[;] ~startcombat~); ,YES
Warlock,Status effects are different.,warlock,-70|-50,Rules.setalternate(~all~);,YES
Alchemist,After 4 turns[;] all enemies transform|into bears.,potionmixer,-20|-70,Rules.addenemyinnatestatus(~beartransform~[;] 4[;] true);,YES
Space Marine,Enemies will never roll a 1.,spacemarine,-30|-10,Rules.enemydicerange([2[;] 3[;] 4[;] 5[;] 6]);,YES
Bounty Hunter,You will never roll a 6.,bountyhunter,-20|0,Rules.playerdicerange([1[;]2[;] 3[;] 4[;] 5]);,YES
Rose,Both you and your enemies do +[sword]1|extra damage with each attack.,rose,-20|-40,Rules.bonusdamage = 1; Rules.addenemyinnatestatus(~extradamage~[;] 1[;] false); Rules.addplayerinnatestatus(~extradamage~[;] 1[;] false);,YES
Cactus,When you defeat an enemy[;] excessive|damage is reflected back at you.,cactuswarrior,-20|0,Rules.addenemyinnatestatus(~reflectexcess~[;] 1[;] false);,YES
The Thief,Switch to ~Finders Keepers~ rules.,_thief,-90|-20,Rules.switchtofinderskeepers();,YES
Ned,All equipment you find is upgraded… | But so is everyone else's.,*anvil,-75|15,Rules.switchtoitllbefine(); Rules.upgradeenemyequipment = true;,YES
Frog,All small equipment becomes big.,frog,-80|-40,Rules.makeallequipmentbig();,YES
Slime,Start each fight with [poison]2 poison.,slime,10|-20,Rules.addplayerinnatestatus(POISON[;] 2[;] true); Rules.addextrascript(~if(turn == 1){ removestatusself(POISON[;] 1); pierceattackself(2|POISON); sfxdamage(self[;]2); sfx(\~_poison\~[;]\~\~[;]0.2); }~[;] ~onstartturn~);,YES
Wisp,No duplicates! Matching dice vanish|as soon as they are created.,wisp,20|-60,Rules.destroymatchingdice = true;,YES
Sneezy,Using any piece of equipment will|reroll a random dice.,sneezey,-20|-10,Rules.addextrascript(~var availdice = []; for (mydice in self.dicepool){ if (mydice.available() && !mydice.intween()){ availdice.push(mydice); } } if(availdice.length > 0) { shuffle(availdice); availdice[0].animatereroll(rand([1[;]2[;]3[;]4[;]5[;]6]) | self.screenposition());  }~[;] ~playerequipmentuse~); ,YES
